,username,password,first_name,last_name,age,drug_type,use_duration,med_insurer,state,gender,zipcode,year_signed_up,years_from_first_litigation,copay_or_coinsurance,personal_spending_per_year,total_spending,income,est_settle
52,user52@gmail.com,52sda24sdf,User52,Last52,47,HYDROCODONE,2,Other,MO,F,65764,2018,9,coinsurance,444.4939055,2963.292703,49201.00454,
53,user53@gmail.com,sdjh29023,User53,Last53,39,AMPHETAMINE,2,Other,OK,F,74869,2017,8,coinsurance,364.0704997,2427.136665,61435.72822,
54,user54@gmail.com,asd1we5,User54,Last54,23,OXYCODONE,2,Medicaid,UT,F,84072,2018,9,coinsurance,379.9833951,2533.222634,57851.47075,
55,user55@gmail.com,12345,User55,Last55,17,HYDROCODONE,6,Medicaid,MO,F,65077,2016,7,copay,382.7158766,2321.284123,65677.89436,
56,user56@gmail.com,abcdef^,User56,Last56,29,METHYLPHENIDATE,4,Medicaid,MO,M,64740,2017,8,coinsurance,395.3138162,2635.425442,57796.27114,
57,user57@hotmail.com,12345,User57,Last57,45,OXYCODONE,3,Other,MO,M,63952,2016,7,copay,410.0235723,2293.976428,37054.711,
58,user58@gmail.com,52sda24sdf,User58,Last58,16,GAMMA HYDROXYBUTYRIC ACID,3,Medicaid,TN,F,38333,2018,9,coinsurance,350.9493187,2339.662125,70754.91591,
59,user59@gmail.com,sdjh29023,User59,Last59,21,METHYLPHENIDATE,4,Medicaid,VA,F,23879,2017,8,coinsurance,407.5999233,2717.332822,70007.05933,
60,user60@hotmail.com,52sda24sdf,User60,Last60,37,AMPHETAMINE,5,Medicaid,WI,F,54513,2018,9,coinsurance,424.1780389,2827.853593,60959.64074,
61,user61@hotmail.com,12345,User61,Last61,36,METHYLPHENIDATE,6,Other,WI,M,54462,2016,7,copay,435.7267995,2268.2732,36475.03705,
62,user62@gmail.com,abcdef^,User62,Last62,16,MORPHINE,2,Other,TX,F,75421,2017,8,coinsurance,440.5432984,2936.955323,55375.50824,
63,user63@gmail.com,12345,User63,Last63,68,OXYCODONE,2,Medicaid,MT,M,59087,2016,7,copay,444.9981902,2259.00181,50964.66895,
64,user64@yahoo.com,asd1we5,User64,Last64,27,CODEINE,4,Medicaid,SC,M,29934,2018,9,coinsurance,401.0275333,2673.516889,59175.35905,
65,user65@gmail.com,sdjh29023,User65,Last65,36,OXYCODONE,7,Other,SD,F,57255,2017,8,coinsurance,394.6480689,2630.987126,56944.36531,
66,user66@yahoo.com,52sda24sdf,User66,Last66,74,GAMMA HYDROXYBUTYRIC ACID,5,Other,GA,F,31772,2018,9,coinsurance,350.033314,2333.555427,52554.46014,
67,user67@gmail.com,12345,User67,Last67,26,OXYCODONE,4,Medicare,PA,F,15821,2016,7,copay,383.8895952,2320.110405,55217.61647,
68,user68@gmail.com,abcdef^,User68,Last68,29,OXYCODONE,5,Other,KS,F,66958,2017,8,coinsurance,374.4105683,2496.070455,55757.62513,
69,user69@gmail.com,asd1we5,User69,Last69,32,GAMMA HYDROXYBUTYRIC ACID,7,Other,IA,M,52232,2016,7,copay,365.8182885,2338.181712,67831.90189,
70,user70@gmail.com,52sda24sdf,User70,Last70,60,OXYCODONE,6,Medicare,TX,F,78719,2018,9,coinsurance,356.5193112,2376.795408,73779.17294,
71,user71@gmail.com,sdjh29023,User71,Last71,40,CODEINE,7,Medicaid,ID,F,83852,2017,8,coinsurance,386.0134042,2573.422695,36892.86815,
72,user72@gmail.com,52sda24sdf,User72,Last72,74,CODEINE,1,Medicaid,VT,M,5872,2018,9,coinsurance,366.3191407,2442.127605,57241.26417,
73,user73@gmail.com,12345,User73,Last73,70,OXYCODONE,4,Medicaid,KY,F,41166,2016,7,copay,375.6967675,2328.303233,47516.76241,
74,user74@yahoo.com,asd1we5,User74,Last74,68,AMPHETAMINE,9,Medicaid,MN,F,55982,2017,8,coinsurance,370.1646931,2467.764621,62787.24779,
75,user75@gmail.com,12345,User75,Last75,50,OXYCODONE,2,Other,KY,M,40040,2016,7,copay,353.3169032,2350.683097,49633.52125,
